engagement_id,student_id,engagement_type,engagement_content_id,timestamp,engagement_response,engagement_metrics,funnel_stage_before,funnel_stage_after
E001,S001,view,CONTENT_001,2024-03-15 10:00:00,clicked,"{""time_spent"": 120, ""scroll_depth"": 0.8, ""interaction_count"": 3}",interest,consideration
E002,S001,download,CONTENT_002,2024-03-15 11:30:00,completed,"{""time_spent"": 300, ""download_count"": 1, ""interaction_count"": 5}",consideration,consideration
E003,S002,view,CONTENT_001,2024-03-14 09:15:00,clicked,"{""time_spent"": 90, ""scroll_depth"": 0.6, ""interaction_count"": 2}",awareness,interest
E004,S003,submit,CONTENT_003,2024-03-13 14:45:00,completed,"{""time_spent"": 600, ""form_completion"": 1, ""interaction_count"": 8}",consideration,decision
E005,S004,view,CONTENT_004,2024-03-12 11:20:00,clicked,"{""time_spent"": 45, ""scroll_depth"": 0.4, ""interaction_count"": 1}",awareness,awareness
E006,S005,download,CONTENT_005,2024-03-11 15:30:00,completed,"{""time_spent"": 180, ""download_count"": 1, ""interaction_count"": 4}",interest,consideration
E007,S001,submit,CONTENT_006,2024-03-10 09:45:00,completed,"{""time_spent"": 450, ""form_completion"": 1, ""interaction_count"": 6}",interest,consideration
E008,S002,view,CONTENT_007,2024-03-09 13:15:00,clicked,"{""time_spent"": 75, ""scroll_depth"": 0.7, ""interaction_count"": 2}",awareness,interest
E009,S003,download,CONTENT_008,2024-03-08 16:20:00,completed,"{""time_spent"": 240, ""download_count"": 1, ""interaction_count"": 5}",consideration,decision
E010,S004,view,CONTENT_009,2024-03-07 10:30:00,clicked,"{""time_spent"": 60, ""scroll_depth"": 0.5, ""interaction_count"": 1}",awareness,awareness 
